STATION,DATE,PRCP
GHCND:USW00023160,20110808,0
GHCND:USW00023160,20110809,0
GHCND:USW00023160,20110810,0
GHCND:USW00023160,20110811,0
GHCND:USW00023160,20110812,3
GHCND:USW00023160,20110813,0
GHCND:USW00023160,20110814,0
GHCND:USW00023160,20110815,8
GHCND:USW00023160,20110816,0
GHCND:USW00023160,20110817,0
GHCND:USW00023160,20110818,109
GHCND:USW00023160,20110819,0
GHCND:USW00023160,20110820,0
GHCND:USW00023160,20110821,0
GHCND:USW00023160,20110822,0
GHCND:USW00023160,20110823,8
GHCND:USW00023160,20110824,0
GHCND:USW00023160,20110825,0
GHCND:USW00023160,20110826,0
GHCND:USW00023160,20110827,71
GHCND:USW00023160,20110828,0
GHCND:USW00023160,20110829,0
GHCND:USW00023160,20110830,0
GHCND:USW00023160,20110831,0
GHCND:USW00023160,20110901,0
GHCND:USW00023160,20110902,0
GHCND:USW00023160,20110903,0
GHCND:USW00023160,20110904,0
GHCND:USW00023160,20110905,0
GHCND:USW00023160,20110906,53
GHCND:USW00023160,20110907,0
GHCND:USW00023160,20110908,0
GHCND:USW00023160,20110909,196
GHCND:USW00023160,20110910,318
GHCND:USW00023160,20110911,0
GHCND:USW00023160,20110912,66
GHCND:USW00023160,20110913,30
GHCND:USW00023160,20110914,30
GHCND:USW00023160,20110915,721
GHCND:USW00023160,20110916,0
GHCND:USW00023160,20110917,0
GHCND:USW00023160,20110918,0
GHCND:USW00023160,20110919,0
GHCND:USW00023160,20110920,0
GHCND:USW00023160,20110921,0
GHCND:USW00023160,20110922,0
GHCND:USW00023160,20110923,0
GHCND:USW00023160,20110924,0
GHCND:USW00023160,20110925,8
GHCND:USW00023160,20110926,0
GHCND:USW00023160,20110927,0
GHCND:USW00023160,20110928,0
GHCND:USW00023160,20110929,0
GHCND:USW00023160,20110930,0
GHCND:USW00023160,20111001,8
GHCND:USW00023160,20111002,3
GHCND:USW00023160,20111003,0
GHCND:USW00023160,20111004,0
GHCND:USW00023160,20111005,0
GHCND:USW00023160,20111006,5
GHCND:USW00023160,20111007,0
GHCND:USW00023160,20111008,0
GHCND:USW00023160,20111009,0
GHCND:USW00023160,20111010,0
GHCND:USW00023160,20111011,0
GHCND:USW00023160,20111012,0
GHCND:USW00023160,20111013,0
GHCND:USW00023160,20111014,0
GHCND:USW00023160,20111015,0
GHCND:USW00023160,20111016,0
GHCND:USW00023160,20111017,0
GHCND:USW00023160,20111018,0
GHCND:USW00023160,20111019,0
GHCND:USW00023160,20111020,0
GHCND:USW00023160,20111021,0
GHCND:USW00023160,20111022,0
GHCND:USW00023160,20111023,0
